E_A,I,J_E_L,J_E_R,J_N_L,J_N_R,J_Q_L,J_Q_R,P1,P_el,P_erg,T_period,W_A,W_acc2,W_coh,W_inc,abs_C,control,converged,dE_collision,dE_wait,dN_collision,dN_wait,first_law_residual,n_iter,particle_balance_instant,r,residual_particle_avg,scan,theta
0.0022389791297100087,0.16841824671602737,0.004078354925398834,0.0003996464406821801,0.16841824671602737,-0.16841715012096692,-0.09697259310421759,-0.10065064363189798,0.6523687279604551,-0.20210189605923284,0.00033211534066743265,0.5,0.00016605767033371632,0.0,0.00016605767033371632,0.0,0.13029657454711482,collision,1,-0.0022389791297100087,0.0022389791123431117,0.0,3.446428697984061e-10,-0.002239000700407404,63,-0.010409190511129651,2.0,1.0965950604513441e-06,rate,0.4
0.0023727616799353517,0.16789484076512462,0.004030464217949486,-0.00034216635511619473,0.16789484076512462,-0.16789322862118475,-0.0967064402411253,-0.10107810352782703,0.6451542542742056,-0.20147380891814953,0.0002652690408806429,0.6433324490047159,0.00017065618171487607,0.0,0.00017065618171487607,0.0,0.13170767920094745,collision,1,-0.0023727616799353504,0.002372761664666669,0.0,2.9941282786438705e-10,-0.002372801712024082,51,-0.010040921093912858,1.5544062817709194,1.6121439398719684e-06,rate,0.4
0.0024808197132187276,0.16741426740783036,0.003987849276268263,-0.0009907097948404508,0.16741426740783036,-0.16741196930443208,-0.09646071116842996,-0.10143789137749969,0.6387026762787148,-0.20089712088939643,0.00020921923165265327,0.8277532798848107,0.00017318190521546374,0.0,0.00017318190521546374,0.0,0.1323664436772317,collision,1,-0.002480819713218725,0.002480819699617192,1.1102230246251565e-16,2.6454205492854044e-10,-0.0024808920496256657,41,-0.009134395394302969,1.2080894444044474,2.298103398273854e-06,rate,0.4
0.00256568614132239,0.16701403435814297,0.0039516732683186504,-0.0015425510633111327,0.16701403435814297,-0.16701083680213227,-0.0962567473465671,-0.10174905314459053,0.633084221005997,-0.20041684122977155,0.00016357752312932763,1.0650410894399627,0.0001742167834415498,0.0,0.0001742167834415498,0.0,0.13251342595583143,collision,1,-0.0025656861413223915,0.0025656861305460125,0.0,2.084959982440182e-10,-0.0025658141485915904,33,-0.00779380819056924,0.9389309106617063,3.1975560106922707e-06,rate,0.4
0.002630302027756734,0.16669681438207257,0.003921848816220617,-0.0020022494643165685,0.16669681438207257,-0.16669244883666529,-0.09609623981302291,-0.10201771876631574,0.6283207971034639,-0.20003617725848707,0.0001270956832226114,1.3703509847201238,0.00017416569465778244,0.0,0.00017416569465778244,0.0,0.13230371477496458,collision,1,-0.002630302027756732,0.002630302016211384,1.1102230246251565e-16,2.2269186494838777e-10,-0.0026305248736951717,26,-0.006212231775340721,0.7297400528407231,4.3655454072810684e-06,rate,0.4
0.0026777589279554674,0.16645240094975677,0.0038977407956206473,-0.002378815828421677,0.16645240094975677,-0.16644652840560123,-0.09597369977423341,-0.10224673287178242,0.6244033127209507,-0.19974288113970812,9.829222550656243e-05,1.7631825099920424,0.0001733071328813646,0.0,0.0001733071328813646,0.0,0.13183642455772615,collision,1,-0.0026777589279554674,0.002677758920580875,0.0,1.4201817499781555e-10,-0.0026781419435300533,21,-0.004626363228576458,0.5671562610977313,5.872544155544057e-06,rate,0.4
0.0027110940199059274,0.1662679102895636,0.00387853790556081,-0.002683212218405168,0.1662679102895636,-0.16626010090484608,-0.09588220826817731,-0.10243927276131282,0.621290620473729,-0.1995214923474763,7.575822411171026e-05,2.2686250443909253,0.00017186700453840633,0.0,0.00017186700453840633,0.0,0.13118772428086323,collision,1,-0.0027110940199059257,0.0027110940156903247,1.1102230246251565e-16,8.112088778489124e-11,-0.0027117457943006823,17,-0.0032311267184091663,0.4407956274980106,7.809384717505363e-06,rate,0.4
0.0027332152792210614,0.16613157500915882,0.003863429784603187,-0.002926686672631795,0.16613157500915882,-0.16612128258226486,-0.09581551522089206,-0.10259945622199067,0.6189085437162523,-0.19935789001099058,5.8269750158598834e-05,2.9189602113628927,0.0001700870822390066,0.0,0.0001700870822390066,0.0,0.13043951398952836,collision,1,-0.002733215279221061,0.002733215277610621,0.0,3.097788692230097e-11,-0.0027343158737231886,14,-0.0021195317895514043,0.3425877461800309,1.0292426893959705e-05,rate,0.4
0.002746933749731159,0.1660334117818062,0.003851675375623406,-0.0031197841057531393,0.1660334117818062,-0.16601994077432874,-0.0957683716934603,-0.10273174857035039,0.6171622695256801,-0.19924009413816743,4.479867759292062e-05,3.7557236426468266,0.0001682514525950446,0.0,0.0001682514525950446,0.0,0.12969125117100255,collision,1,-0.0027469337497311574,0.002746933748255251,1.1102230246251565e-16,2.8384183892171677e-11,-0.002748781347574475,11,-0.0012955348611632667,0.2662602723599906,1.3471007477450225e-05,rate,0.4
0.0027548846524608635,0.16596482215873168,0.0038426186289274456,-0.0032718883749361678,0.16596482215873168,-0.16594728525882765,-0.09573627466631156,-0.10284025953023279,0.6159520255882589,-0.199157786590478,3.448528950789486e-05,4.832357777617791,0.00016664525696687694,0.0,0.00016664525696687694,0.0,0.1290454303712259,collision,1,-0.0027548846524608605,0.0027548846518899196,1.1102230246251565e-16,1.0978995490518173e-11,-0.0027579727823674694,9,-0.0007230931645109129,0.20693831997120263,1.753689990402485e-05,rate,0.4
0.0027592389631290017,0.1659182899290307,0.003835689778949303,-0.003391085279978634,0.1659182899290307,-0.1658955546091387,-0.09571528417846911,-0.10292841804546188,0.6151784345835384,-0.19910194791483685,2.661200961315292e-05,6.217625127083676,0.00016546349965293196,0.0,0.00016546349965293196,0.0,0.12857281617598434,collision,1,-0.002759238963128999,0.0027592389625189446,1.1102230246251565e-16,1.1730394433584479e-11,-0.002764384105024534,7,-0.0003568305147179929,0.160833112251179,2.273531989199773e-05,rate,0.4
0.0027614800816864607,0.165887565054015,0.0038304110982755554,-0.003484157128419059,0.165887565054015,-0.16585818830483945,-0.09570212793413345,-0.10299907011132271,0.6147394661624246,-0.199065078064818,2.059307509380479e-05,8.0,0.0001647446007504383,0.0,0.0001647446007504383,0.0,0.12828573028372114,collision,1,-0.00276148008168646,0.0027614800816103627,0.0,1.4632739464559563e-12,-0.002770031758928067,6,-0.00014885457192501117,0.125,2.9376749175552552e-05,rate,0.4
