E_A,I,J_E_L,J_E_R,J_N_L,J_N_R,J_Q_L,J_Q_R,P1,P_el,P_erg,T_period,W_A,W_acc2,W_coh,W_inc,abs_C,control,converged,dE_collision,dE_wait,dN_collision,dN_wait,first_law_residual,n_iter,particle_balance_instant,r,residual_particle_avg,scan,theta
4.548122019591812e-05,0.16516187790727377,0.0037990477439493082,-0.0037687235985662316,0.16516187790727377,-0.16516178486011493,-0.09529807900041494,-0.10286579451463518,0.6146397099665452,-0.19819425348872852,1.6147320590316946e-06,1.5,2.422098088547542e-06,0.0,2.422098088547542e-06,0.0,0.13896129944268468,collision,1,-4.548122019591705e-05,4.548121142952839e-05,0.0,1.5446499634919064e-10,-4.548622684100363e-05,20,-9.781730600191829e-05,0.6666666666666666,9.304715883895476e-08,theta,0.05
0.00033500001816122156,0.16459068638528923,0.0037948996004619575,-0.0035715420641444276,0.16459068638528923,-0.16459001484467511,-0.09495951223071158,-0.10232555097094947,0.61601187767089,-0.19750882366234707,1.2175027545239616e-05,1.5,1.8262541317859426e-05,0.0,1.8262541317859426e-05,0.0,0.13837075519500125,collision,1,-0.000335000018161221,0.00033500001072298436,0.0,1.3229040085604993e-10,-0.00033503631191453146,23,-0.0007234107758343211,0.6666666666666666,6.715406141166724e-07,theta,0.13636363636363635
0.0008770772271187319,0.16461053264006903,0.0038121534853090048,-0.0032273730834541103,0.16461053264006903,-0.1646088163657804,-0.09495416609873243,-0.10199266290292235,0.6185815192458632,-0.19753263916808284,3.330313072889002e-05,1.5,4.995469609333503e-05,0.0,4.995469609333503e-05,0.0,0.1371619734598051,collision,1,-0.0008770772271187305,0.0008770772191342381,0.0,1.445666919508426e-10,-0.0008771706107668341,24,-0.0018930649933981414,0.6666666666666666,1.7162742886323024e-06,theta,0.22272727272727272
0.0016432100648446695,0.16524464703458397,0.003850413248854366,-0.0027548254161234667,0.16524464703458397,-0.16524152262915975,-0.09529637497189601,-0.10189973899361932,0.6221818420038785,-0.19829357644150075,6.636532500480241e-05,1.5,9.954798750720363e-05,0.0,9.954798750720363e-05,0.0,0.13520618839234996,collision,1,-0.0016432100648446713,0.0016432100540545932,0.0,2.0055868077406558e-10,-0.001643381759886427,24,-0.0035289334728015598,0.6666666666666666,3.1244054242152153e-06,theta,0.3090909090909091
0.002594754445622245,0.16651651667507486,0.003908961995979218,-0.002178948568820683,0.16651651667507486,-0.16651174474452676,-0.09600094800906572,-0.1020859954155367,0.6265722518876701,-0.19981982001008983,0.00011308768712648224,1.5,0.00016963153068972337,0.0,0.00016963153068972337,0.0,0.13234082394361574,collision,1,-0.0025947544456222443,0.0025947544349877918,0.0,2.0456425442461068e-10,-0.002595020151372256,24,-0.005519837208711881,0.6666666666666666,4.771930548097547e-06,theta,0.39545454545454545
0.003686583825476491,0.16843990103907214,0.003986655713859619,-0.0015286868388984614,0.16843990103907214,-0.16843337303048522,-0.09707728490958367,-0.10258871065718957,0.631466770896599,-0.20212788124688655,0.00017519203664995525,1.5,0.0002627880549749329,0.0,0.0002627880549749329,0.0,0.1284015669721995,collision,1,-0.003686583825476491,0.003686583817306888,0.0,1.6388190804406122e-10,-0.0036869533206113398,24,-0.007734402568762205,0.6666666666666666,6.528008586914602e-06,theta,0.4818181818181818
0.004870930122945701,0.17100971268350748,0.0040818421845977265,-0.0008342372664104904,0.17100971268350748,-0.17100144454626273,-0.09852398542550678,-0.10343510399416812,0.6365647901356741,-0.20521165522020898,0.00025392318054191695,1.5,0.00038088477081287545,0.0,0.00038088477081287545,0.0,0.1232540575606948,collision,1,-0.004870930122945698,0.004870930117881759,0.0,1.0668554928372487e-10,-0.004871407382344793,24,-0.010035183212772858,0.6666666666666666,8.268137244749063e-06,theta,0.5681818181818182
0.006100815325160633,0.17419574091798906,0.004192330550287917,-0.0001247311873528615,0.17419574091798906,-0.1741858564852414,-0.10032511400050553,-0.10463624507849768,0.6415787070310355,-0.20903488910158688,0.00034951429379749077,1.5,0.0005242714406962362,0.0,0.0005242714406962362,0.0,0.1168188930899108,collision,1,-0.006100815325160632,0.00610081531915892,0.0,1.336398769424818e-10,-0.006101399050404295,23,-0.012291275569069698,0.6666666666666666,9.884432747658822e-06,theta,0.6545454545454545
0.00733268904735649,0.1779402458262471,0.004315422212042209,0.0005734934305804738,0.1779402458262471,-0.1779289541197755,-0.10244872528370604,-0.1061838790412848,0.6462547246653129,-0.2135282949914965,0.0004606692290018496,1.5,0.0006910038435027744,0.0,0.0006910038435027744,0.0,0.10908619704437543,collision,1,-0.00733268904735649,0.007332689040887189,0.0,1.5308532219648896e-10,-0.007333373470403325,22,-0.014387744425107901,0.6666666666666666,1.129170647160005e-05,theta,0.740909090909091
0.008528129729678377,0.182159417810573,0.00444799837164676,0.0012379386548343797,0.182159417810573,-0.18214698788188835,-0.10484765231469702,-0.10805025407429865,0.6503853044371495,-0.2185913013726876,0.0005841666953316745,1.5,0.0008762500429975118,0.0,0.0008762500429975118,0.0,0.10011897293320915,collision,1,-0.008528129729678377,0.00852812972315379,0.0,1.6479517750411787e-10,-0.008528905546246298,21,-0.016231195969143436,0.6666666666666666,1.2429928684637437e-05,theta,0.8272727272727274
