I,J_Q_L,J_Q_R,P1,P_el,P_erg,T_period,W_A,W_coh,W_inc,abs_C,converged,first_law_residual,r,residual_particle_avg,scan,theta
0.16148007311432402,0.22673294512175685,-0.12017871314214804,0.4657426399096351,0.09688804386859441,0.00026570717249931877,0.5,0.00013285358624965938,0.00013285358624965938,0.0,0.052068166411544846,1,-0.004833550250159718,2.0,3.0443348624231703e-06,rate,0.45
0.17300272430904642,0.24229517565906292,-0.1306040322691459,0.4389400821306515,0.10380163458542785,0.00018781083679292394,0.6589903146065011,0.0001237655224246792,0.0001237655224246792,0.0,0.05015817414605928,1,-0.005200024591472761,1.5174729853156095,4.628665067840654e-06,rate,0.45
0.18270330156794995,0.2553716110265848,-0.1394304281648464,0.4160789257379117,0.10962198094076997,0.0001319148587695176,0.8685364694903507,0.00011457286570899506,0.00011457286570899506,0.0,0.04818525016360125,1,-0.005490224079497187,1.151362130581334,6.781857351867426e-06,rate,0.45
0.1906800705564109,0.2661104737873545,-0.14671380396735023,0.3970701943043923,0.11440804233384654,9.264653676561986e-05,1.144714242553332,0.00010605381015884597,0.00010605381015884597,0.0,0.04630475269491485,1,-0.005713870891413591,0.8735804647362987,9.662499382723233e-06,rate,0.45
0.1971078537615825,0.2747565340219933,-0.15259488664699739,0.38166012167657776,0.11826471225694948,6.527865724271756e-05,1.5087111976695258,9.848664115091887e-05,9.848664115091887e-05,0.0,0.044583146201118834,1,-0.005885452276389511,0.6628173778683945,1.3483635503214186e-05,rate,0.45
0.20220411178238704,0.28160768888864446,-0.1572623339238366,0.3694788689177784,0.12132246706943221,4.6223270038016444e-05,1.9884521336051837,9.191275992930237e-05,9.191275992930237e-05,0.0,0.04304170961766238,1,-0.006021923261666894,0.5029037325565084,1.853312103988758e-05,rate,0.45
0.20619732561880943,0.2869740297929142,-0.1609200575746361,0.36007078904588946,0.12371839537128565,3.294272320547088e-05,2.6207413942088973,8.633435834254355e-05,8.633435834254355e-05,0.0,0.041695273020870664,1,-0.006140750713595216,0.38157141418444385,2.5193884522128895e-05,rate,0.45
0.2093013639956994,0.291144508760752,-0.16376133440831905,0.3529560179012381,0.12558081839741964,2.3678956105137254e-05,3.454086391744003,8.178916005345816e-05,8.178916005345816e-05,0.0,0.04056869624733537,1,-0.006260690878967266,0.2895121564967835,3.3967293098485785e-05,rate,0.45
0.21170126014065707,0.2943685302881546,-0.16595433818868396,0.3477000528769184,0.12702075608439423,1.7198890199681283e-05,4.552418955946829,7.82965537662772e-05,7.82965537662772e-05,0.0,0.03968296769121991,1,-0.006405650364698437,0.21966343820216705,4.55039830101478e-05,rate,0.45
0.213550043903462,0.29685208640934607,-0.16763843084346627,0.34394361816822083,0.12813002634207718,1.2630266349156205e-05,6.0,7.578159809493724e-05,7.578159809493724e-05,0.0,0.03903339811940889,1,-0.006610930318554309,0.16666666666666666,6.0641679833661755e-05,rate,0.45
