Delta,I,J_Q_L,J_Q_R,P1,P_el,T_L,T_R,V,abs_C,epsilon,min_eig,mu_L,mu_R,p_L,p_R,positive,score,theta_R
0.05,0.21461389328451827,0.28244040630021905,-0.15367207032950825,0.3381134934613426,0.12876833597071097,2.0,0.25,-0.6,0.042827738854262526,1.0,0.12363045816842684,-0.3,0.3,0.7,0.7,1,0.026206571767511077,0.9
0.05,0.22615522185967651,0.29646989218338354,-0.1607767590675777,0.3352238597762298,0.13569313311580591,2.0,0.25,-0.6,0.030633755382634128,1.0,0.13506451403421368,-0.3,0.3,0.5,0.5,1,0.02613867887157945,0.9
0.2,0.23097265510597206,0.3111137288175183,-0.17253013575393525,0.3355594872709596,0.13858359306358323,2.0,0.25,-0.6,0.02572065327827482,1.0,0.14107716071432186,-0.3,0.3,0.5,0.5,1,0.02613728602012938,0.6
0.1,0.23235422222489494,0.30754091258966015,-0.16812837925472313,0.33454314165433563,0.13941253333493694,2.0,0.25,-0.6,0.02348757058239245,1.0,0.14377919756355034,-0.3,0.3,0.5,0.5,1,0.026001834279409435,0.6
0.05,0.23263740989468787,0.3051785917243736,-0.16559614578756096,0.33441905368772695,0.1395824459368127,2.0,0.25,-0.6,0.02231355787830858,1.0,0.14471560586684779,-0.3,0.3,0.5,0.5,1,0.025892916209147306,0.6
0.1,0.217558291115051,0.28695499586238454,-0.15642002119335413,0.33565064206019657,0.1305349746690306,2.0,0.25,-0.6,0.036685669387818615,1.0,0.1263048771801143,-0.3,0.3,0.5,0.5,1,0.02581805989102542,1.2
0.05,0.21802277262098868,0.28554663314671824,-0.1547329695741249,0.33628434023153725,0.1308136635725932,2.0,0.25,-0.6,0.03596252792369872,1.0,0.1264357755013655,-0.3,0.3,0.5,0.5,1,0.025813691378435047,1.2
0.2,0.21662019733775184,0.28944276552219417,-0.15947064711954329,0.3344626783286185,0.1299721184026511,2.0,0.25,-0.6,0.03799101616853538,1.0,0.12596658953119536,-0.3,0.3,0.5,0.5,1,0.025811763564866957,1.2
0.1,0.1977747799112754,0.26574569194849595,-0.14708082400173064,0.3449929524279849,0.11866486794676523,2.0,0.25,-0.6,0.057212357967146854,1.0,0.11363293943745659,-0.3,0.3,0.9,0.9,1,0.025790934459628368,0.9
0.05,0.19761473949681369,0.2612289043361293,-0.14266006063804082,0.34713429026915954,0.1185688436980882,2.0,0.25,-0.6,0.05671907253988482,1.0,0.11486315399848522,-0.3,0.3,0.9,0.9,1,0.02578582204346563,0.9
0.2,0.19808906611195393,0.27470078807244075,-0.15584734840526862,0.34052270156349157,0.11885343966717235,2.0,0.25,-0.6,0.05783444738482246,1.0,0.11128893057124517,-0.3,0.3,0.9,0.9,1,0.02575740712033028,0.9
0.05,0.21207386787949117,0.2775580370555346,-0.1503137163278398,0.33709597573859823,0.1272443207276947,2.0,0.25,-0.6,0.03764108359887164,1.0,0.12136123456410941,-0.3,0.3,0.5,0.5,1,0.02531250846351311,1.4
