Delta,Delta_over_gamma,P1,S_perp,T_L,T_R,T_R_over_T_L,V,abs_C,epsilon,gamma_L,gamma_R,gamma_R_over_L,min_eig,mu_L,mu_R,p_L,p_R,positive,scan,theta_R
0.05,0.05,0.5815378533841548,0.16987360094487755,1.5,0.4,,,0.08493680047243878,0.0,1.0,1.0,,0.20493318280803496,0.6,-0.6,0.85,0.85,1,grid,0.8285714285714285
0.05,0.05,0.6013600437752136,0.20234090016960055,1.5,0.4,,,0.10117045008480027,0.0,1.0,1.0,,0.1994339199808859,0.6,-0.6,0.95,0.95,1,grid,0.8285714285714285
0.05,0.05,0.5661215588208948,0.10773616575016208,1.5,0.4,,,0.05386808287508104,0.0,1.0,1.0,,0.22540584912017944,0.6,-0.6,0.5,0.5,1,grid,0.9714285714285714
0.05,0.05,0.5732355241254294,0.15251176446139392,1.5,0.4,,,0.07625588223069696,0.0,1.0,1.0,,0.20612368323012484,0.6,-0.6,0.7,0.7,1,grid,0.9714285714285714
0.05,0.05,0.5858672944574186,0.1923962636088185,1.5,0.4,,,0.09619813180440925,0.0,1.0,1.0,,0.194195601192173,0.6,-0.6,0.85,0.85,1,grid,0.9714285714285714
0.05,0.05,0.6058669344785521,0.22930890605546728,1.5,0.4,,,0.11465445302773364,0.0,1.0,1.0,,0.18801084193714182,0.6,-0.6,0.95,0.95,1,grid,0.9714285714285714
0.05,0.05,0.5672560447256924,0.11646273442020146,1.5,0.4,,,0.05823136721010073,0.0,1.0,1.0,,0.21883177614507904,0.6,-0.6,0.5,0.5,1,grid,1.1142857142857143
0.05,0.05,0.5758097426893045,0.16626704660825123,1.5,0.4,,,0.08313352330412561,0.0,1.0,1.0,,0.19733807605603307,0.6,-0.6,0.7,0.7,1,grid,1.1142857142857143
0.05,0.05,0.5898230880583426,0.2110412679808948,1.5,0.4,,,0.1055206339904474,0.0,1.0,1.0,,0.1840343608493801,0.6,-0.6,0.85,0.85,1,grid,1.1142857142857143
0.05,0.05,0.6093927758758315,0.25123062616853825,1.5,0.4,,,0.12561531308426913,0.0,1.0,1.0,,0.1770994678594068,0.6,-0.6,0.95,0.95,1,grid,1.1142857142857143
0.05,0.05,0.5684468812729826,0.12266099787189053,1.5,0.4,,,0.06133049893594526,0.0,1.0,1.0,,0.21271395084214179,0.6,-0.6,0.5,0.5,1,grid,1.2571428571428571
0.05,0.05,0.5783433006882173,0.17659346850755564,1.5,0.4,,,0.08829673425377782,0.0,1.0,1.0,,0.1891313181946374,0.6,-0.6,0.7,0.7,1,grid,1.2571428571428571
0.05,0.05,0.5933612478657828,0.22525459549569463,1.5,0.4,,,0.11262729774784731,0.0,1.0,1.0,,0.1744603967965563,0.6,-0.6,0.85,0.85,1,grid,1.2571428571428571
0.05,0.05,0.6121831664023557,0.2676013051766153,1.5,0.4,,,0.13380065258830764,0.0,1.0,1.0,,0.16670582564341063,0.6,-0.6,0.95,0.95,1,grid,1.2571428571428571
0.05,0.05,0.5696671801623823,0.12623838423834727,1.5,0.4,,,0.06311919211917363,0.0,1.0,1.0,,0.20707208713546404,0.6,-0.6,0.5,0.5,1,grid,1.4
0.05,0.05,0.5807805205117789,0.18323523627088328,1.5,0.4,,,0.09161761813544164,0.0,1.0,1.0,,0.1815150172685254,0.6,-0.6,0.7,0.7,1,grid,1.4
0.05,0.05,0.5964838206061294,0.23464003956897808,1.5,0.4,,,0.11732001978448904,0.0,1.0,1.0,,0.1654903741181411,0.6,-0.6,0.85,0.85,1,grid,1.4
0.05,0.05,0.6144254196514255,0.2781019005954795,1.5,0.4,,,0.13905095029773976,0.0,1.0,1.0,,0.1568608000884951,0.6,-0.6,0.95,0.95,1,grid,1.4
0.1,0.1,0.5629590164375691,0.055068415698364875,1.5,0.4,,,0.027534207849182438,0.0,1.0,1.0,,0.25231263917713104,0.6,-0.6,0.5,0.5,1,grid,0.4
0.1,0.1,0.5643639092668418,0.0740408089317261,1.5,0.4,,,0.03702040446586305,0.0,1.0,1.0,,0.24409969904386292,0.6,-0.6,0.7,0.7,1,grid,0.4
0.1,0.1,0.5677805769097992,0.0890374959002167,1.5,0.4,,,0.04451874795010835,0.0,1.0,1.0,,0.23803980976810038,0.6,-0.6,0.85,0.85,1,grid,0.4
0.1,0.1,0.5781762137196809,0.10200281996361188,1.5,0.4,,,0.05100140998180594,0.0,1.0,1.0,,0.2338534322867427,0.6,-0.6,0.95,0.95,1,grid,0.4
