Delta,Delta_over_gamma,P1,S_perp,T_L,T_R,T_R_over_T_L,V,abs_C,epsilon,gamma_L,gamma_R,gamma_R_over_L,min_eig,mu_L,mu_R,p_L,p_R,positive,scan,theta_R
0.15,0.15,0.5811427073300297,0.19516649142972786,1.5,0.4,,,0.09758324571486393,0.0,1.0,1.0,,0.1913839134854966,0.6,-0.6,0.85,0.85,1,grid,0.9714285714285714
0.15,0.15,0.5974506125547712,0.2278123683398524,1.5,0.4,,,0.1139061841699262,0.0,1.0,1.0,,0.18458855724189746,0.6,-0.6,0.95,0.95,1,grid,0.9714285714285714
0.15,0.15,0.5658093736382415,0.1227333166188414,1.5,0.4,,,0.0613666583094207,0.0,1.0,1.0,,0.21767898613963751,0.6,-0.6,0.5,0.5,1,grid,1.1142857142857143
0.15,0.15,0.5728266335796355,0.17018636685457322,1.5,0.4,,,0.08509318342728661,0.0,1.0,1.0,,0.19594905612644753,0.6,-0.6,0.7,0.7,1,grid,1.1142857142857143
0.15,0.15,0.5844932375917911,0.21167371819759226,1.5,0.4,,,0.10583685909879613,0.0,1.0,1.0,,0.1819827429630667,0.6,-0.6,0.85,0.85,1,grid,1.1142857142857143
0.15,0.15,0.6007726772888631,0.24762880875843024,1.5,0.4,,,0.12381440437921512,0.0,1.0,1.0,,0.17452917426687437,0.6,-0.6,0.95,0.95,1,grid,1.1142857142857143
0.15,0.15,0.566647300880553,0.12662948212995456,1.5,0.4,,,0.06331474106497728,0.0,1.0,1.0,,0.21257117287161334,0.6,-0.6,0.5,0.5,1,grid,1.2571428571428571
0.15,0.15,0.5749274327217347,0.17810210922847605,1.5,0.4,,,0.08905105461423803,0.0,1.0,1.0,,0.18861489176008742,0.6,-0.6,0.7,0.7,1,grid,1.2571428571428571
0.15,0.15,0.5876730430653967,0.22342207049248167,1.5,0.4,,,0.11171103524624083,0.0,1.0,1.0,,0.1733067609018224,0.6,-0.6,0.85,0.85,1,grid,1.2571428571428571
0.15,0.15,0.6036535118972431,0.261788400165623,1.5,0.4,,,0.1308942000828115,0.0,1.0,1.0,,0.16509108068035086,0.6,-0.6,0.95,0.95,1,grid,1.2571428571428571
0.15,0.15,0.567606651293805,0.12746378942799436,1.5,0.4,,,0.06373189471399718,0.0,1.0,1.0,,0.20804236982885285,0.6,-0.6,0.5,0.5,1,grid,1.4
0.15,0.15,0.5770847157588729,0.18200576448562097,1.5,0.4,,,0.09100288224281049,0.0,1.0,1.0,,0.18201611416099894,0.6,-0.6,0.7,0.7,1,grid,1.4
0.15,0.15,0.5906661870627365,0.23019095433098946,1.5,0.4,,,0.11509547716549473,0.0,1.0,1.0,,0.16538207188538068,0.6,-0.6,0.85,0.85,1,grid,1.4
0.15,0.15,0.6062088193947309,0.2700772754855387,1.5,0.4,,,0.13503863774276936,0.0,1.0,1.0,,0.15632440244721796,0.6,-0.6,0.95,0.95,1,grid,1.4
0.2,0.2,0.5642818452698519,0.06153619248850584,1.5,0.4,,,0.03076809624425292,0.0,1.0,1.0,,0.24339432399178945,0.6,-0.6,0.5,0.5,1,grid,0.4
0.2,0.2,0.5652268116912365,0.07964085928989724,1.5,0.4,,,0.03982042964494862,0.0,1.0,1.0,,0.23689456679994947,0.6,-0.6,0.7,0.7,1,grid,0.4
0.2,0.2,0.5676028795307057,0.09361896869432987,1.5,0.4,,,0.046809484347164934,0.0,1.0,1.0,,0.2314670490265007,0.6,-0.6,0.85,0.85,1,grid,0.4
0.2,0.2,0.5748506200548245,0.1048701502193692,1.5,0.4,,,0.0524350751096846,0.0,1.0,1.0,,0.22698279126431908,0.6,-0.6,0.95,0.95,1,grid,0.4
0.2,0.2,0.5642401833576565,0.08034748628654388,1.5,0.4,,,0.04017374314327194,0.0,1.0,1.0,,0.23840426150922522,0.6,-0.6,0.5,0.5,1,grid,0.5428571428571429
0.2,0.2,0.5659418792569866,0.10471281779073334,1.5,0.4,,,0.05235640889536667,0.0,1.0,1.0,,0.2284518780075454,0.6,-0.6,0.7,0.7,1,grid,0.5428571428571429
0.2,0.2,0.5699323630140223,0.12403700404681985,1.5,0.4,,,0.06201850202340992,0.0,1.0,1.0,,0.2207873811654846,0.6,-0.6,0.85,0.85,1,grid,0.5428571428571429
0.2,0.2,0.5801178180627318,0.1404443313801518,1.5,0.4,,,0.0702221656900759,0.0,1.0,1.0,,0.21540713539898637,0.6,-0.6,0.95,0.95,1,grid,0.5428571428571429
0.2,0.2,0.5642580442754157,0.0965001892342212,1.5,0.4,,,0.0482500946171106,0.0,1.0,1.0,,0.2329551430635242,0.6,-0.6,0.5,0.5,1,grid,0.6857142857142857
0.2,0.2,0.5668934929701264,0.1269046424580932,1.5,0.4,,,0.0634523212290466,0.0,1.0,1.0,,0.219694046355976,0.6,-0.6,0.7,0.7,1,grid,0.6857142857142857
0.2,0.2,0.5725995297462768,0.1516539748373728,1.5,0.4,,,0.0758269874186864,0.0,1.0,1.0,,0.2100983327336838,0.6,-0.6,0.85,0.85,1,grid,0.6857142857142857
0.2,0.2,0.5848207890916136,0.17314901567602922,1.5,0.4,,,0.08657450783801461,0.0,1.0,1.0,,0.20413433609363832,0.6,-0.6,0.95,0.95,1,grid,0.6857142857142857
0.2,0.2,0.56437761380136,0.10956211690657246,1.5,0.4,,,0.05478105845328623,0.0,1.0,1.0,,0.2274041755737697,0.6,-0.6,0.5,0.5,1,grid,0.8285714285714285
0.2,0.2,0.5680852744392116,0.14568391423995344,1.5,0.4,,,0.07284195711997672,0.0,1.0,1.0,,0.2110741028092176,0.6,-0.6,0.7,0.7,1,grid,0.8285714285714285
0.2,0.2,0.5754614623677397,0.17575920970530148,1.5,0.4,,,0.08787960485265074,0.0,1.0,1.0,,0.19978791327624784,0.6,-0.6,0.85,0.85,1,grid,0.8285714285714285
0.2,0.2,0.5889056440640578,0.20192018213357643,1.5,0.4,,,0.10096009106678822,0.0,1.0,1.0,,0.19330900128215908,0.6,-0.6,0.95,0.95,1,grid,0.8285714285714285
0.2,0.2,0.5646370919604831,0.11925616283913149,1.5,0.4,,,0.05962808141956574,0.0,1.0,1.0,,0.22201692140639817,0.6,-0.6,0.5,0.5,1,grid,0.9714285714285714
0.2,0.2,0.5695123567587081,0.1606515167548553,1.5,0.4,,,0.08032575837742766,0.0,1.0,1.0,,0.20287416368547403,0.6,-0.6,0.7,0.7,1,grid,0.9714285714285714
0.2,0.2,0.5784191558936463,0.19574573813326746,1.5,0.4,,,0.09787286906663373,0.0,1.0,1.0,,0.1900597932264747,0.6,-0.6,0.85,0.85,1,grid,0.9714285714285714
0.2,0.2,0.5924893455793667,0.22595285791977582,1.5,0.4,,,0.11297642895988791,0.0,1.0,1.0,,0.1830124351517344,0.6,-0.6,0.95,0.95,1,grid,0.9714285714285714
0.2,0.2,0.5650659404703247,0.12546503112851903,1.5,0.4,,,0.06273251556425952,0.0,1.0,1.0,,0.21698975510900317,0.6,-0.6,0.5,0.5,1,grid,1.1142857142857143
0.2,0.2,0.5711599292219274,0.171549989507145,1.5,0.4,,,0.0857749947535725,0.0,1.0,1.0,,0.19527696799088712,0.6,-0.6,0.7,0.7,1,grid,1.1142857142857143
0.2,0.2,0.5814088806070299,0.21114750646325942,1.5,0.4,,,0.10557375323162971,0.0,1.0,1.0,,0.1810340205319012,0.6,-0.6,0.85,0.85,1,grid,1.1142857142857143
0.2,0.2,0.5957082763290917,0.2446788224133088,1.5,0.4,,,0.1223394112066544,0.0,1.0,1.0,,0.17332280973993408,0.6,-0.6,0.95,0.95,1,grid,1.1142857142857143
0.2,0.2,0.5656815318853647,0.12822573218544428,1.5,0.4,,,0.06411286609272214,0.0,1.0,1.0,,0.21246450158064953,0.6,-0.6,0.5,0.5,1,grid,1.2571428571428571
0.2,0.2,0.5730031508994565,0.17826521857472263,1.5,0.4,,,0.08913260928736132,0.0,1.0,1.0,,0.1884002832206107,0.6,-0.6,0.7,0.7,1,grid,1.2571428571428571
0.2,0.2,0.5843894280701954,0.2216591977084498,1.5,0.4,,,0.1108295988542249,0.0,1.0,1.0,,0.172786542699577,0.6,-0.6,0.85,0.85,1,grid,1.2571428571428571
0.2,0.2,0.5986695977420257,0.2577382145160841,1.5,0.4,,,0.12886910725804204,0.0,1.0,1.0,,0.16431646204223332,0.6,-0.6,0.95,0.95,1,grid,1.2571428571428571
0.2,0.2,0.5664873655050475,0.12771501179208775,1.5,0.4,,,0.06385750589604387,0.0,1.0,1.0,,0.20853661939748538,0.6,-0.6,0.5,0.5,1,grid,1.4
0.2,0.2,0.5750080510377066,0.18082166593771176,1.5,0.4,,,0.09041083296885588,0.0,1.0,1.0,,0.18231391424573598,0.6,-0.6,0.7,0.7,1,grid,1.4
0.2,0.2,0.5873311300178231,0.22714153299360876,1.5,0.4,,,0.11357076649680438,0.0,1.0,1.0,,0.1653641511586744,0.6,-0.6,0.85,0.85,1,grid,1.4
0.2,0.2,0.6014441433609684,0.26495929973528254,1.5,0.4,,,0.13247964986764127,0.0,1.0,1.0,,0.15605939112545844,0.6,-0.6,0.95,0.95,1,grid,1.4
0.3,0.3,0.566618578196753,0.06734572009647666,1.5,0.4,,,0.03367286004823833,0.0,1.0,1.0,,0.23292815820597995,0.6,-0.6,0.5,0.5,1,grid,0.4
0.3,0.3,0.5669609607489099,0.08444299555046983,1.5,0.4,,,0.042221497775234915,0.0,1.0,1.0,,0.2280678055370784,0.6,-0.6,0.7,0.7,1,grid,0.4
0.3,0.3,0.5679774471133519,0.09726160413839649,1.5,0.4,,,0.048630802069198245,0.0,1.0,1.0,,0.22379374324084375,0.6,-0.6,0.85,0.85,1,grid,0.4
0.3,0.3,0.571177760227634,0.10654894275143323,1.5,0.4,,,0.053274471375716614,0.0,1.0,1.0,,0.22025399162832554,0.6,-0.6,0.95,0.95,1,grid,0.4
0.3,0.3,0.5658481206763197,0.08735928616284112,1.5,0.4,,,0.04367964308142056,0.0,1.0,1.0,,0.23007452967414233,0.6,-0.6,0.5,0.5,1,grid,0.5428571428571429
0.3,0.3,0.5665533994861909,0.11026717463668835,1.5,0.4,,,0.055133587318344175,0.0,1.0,1.0,,0.22192677658085674,0.6,-0.6,0.7,0.7,1,grid,0.5428571428571429
0.3,0.3,0.568444068180082,0.12772892215101198,1.5,0.4,,,0.06386446107550599,0.0,1.0,1.0,,0.21520708830089497,0.6,-0.6,0.85,0.85,1,grid,0.5428571428571429
0.3,0.3,0.5733838250790275,0.14091999105598096,1.5,0.4,,,0.07045999552799048,0.0,1.0,1.0,,0.2103210575221173,0.6,-0.6,0.95,0.95,1,grid,0.5428571428571429
0.3,0.3,0.5650416616010011,0.10402509416008396,1.5,0.4,,,0.05201254708004198,0.0,1.0,1.0,,0.22665884715654158,0.6,-0.6,0.5,0.5,1,grid,0.6857142857142857
0.3,0.3,0.5662892176219574,0.13250001842731893,1.5,0.4,,,0.06625000921365946,0.0,1.0,1.0,,0.21499456822244145,0.6,-0.6,0.7,0.7,1,grid,0.6857142857142857
0.3,0.3,0.5692895196986976,0.15463438500289164,1.5,0.4,,,0.07731719250144582,0.0,1.0,1.0,,0.20593213471616464,0.6,-0.6,0.85,0.85,1,grid,0.6857142857142857
0.3,0.3,0.5758235902463995,0.17186031143039093,1.5,0.4,,,0.08593015571519547,0.0,1.0,1.0,,0.1999964930029029,0.6,-0.6,0.95,0.95,1,grid,0.6857142857142857
0.3,0.3,0.5643167226620769,0.11685150676123379,1.5,0.4,,,0.058425753380616896,0.0,1.0,1.0,,0.22291289291341793,0.6,-0.6,0.5,0.5,1,grid,0.8285714285714285
0.3,0.3,0.5662990607603144,0.15059346333215753,1.5,0.4,,,0.07529673166607877,0.0,1.0,1.0,,0.20776719745141592,0.6,-0.6,0.7,0.7,1,grid,0.8285714285714285
0.3,0.3,0.570577492158183,0.17736986513602954,1.5,0.4,,,0.08868493256801477,0.0,1.0,1.0,,0.1965878909042568,0.6,-0.6,0.85,0.85,1,grid,0.8285714285714285
0.3,0.3,0.5784680345988553,0.19857661095155008,1.5,0.4,,,0.09928830547577504,0.0,1.0,1.0,,0.18979348716874825,0.6,-0.6,0.95,0.95,1,grid,0.8285714285714285
0.3,0.3,0.5637828558748212,0.12556621469655824,1.5,0.4,,,0.06278310734827912,0.0,1.0,1.0,,0.21909228014300644,0.6,-0.6,0.5,0.5,1,grid,0.9714285714285714
0.3,0.3,0.5666825282646912,0.16420046062513188,1.5,0.4,,,0.08210023031256594,0.0,1.0,1.0,,0.20066400634550208,0.6,-0.6,0.7,0.7,1,grid,0.9714285714285714
0.3,0.3,0.5723241863012489,0.19547535205254007,1.5,0.4,,,0.09773767602627004,0.0,1.0,1.0,,0.18761087280255728,0.6,-0.6,0.85,0.85,1,grid,0.9714285714285714
0.3,0.3,0.5813120057285504,0.22043147478351097,1.5,0.4,,,0.11021573739175548,0.0,1.0,1.0,,0.18004396876406073,0.6,-0.6,0.95,0.95,1,grid,0.9714285714285714
0.3,0.3,0.5635300305200284,0.13011812606159337,1.5,0.4,,,0.06505906303079668,0.0,1.0,1.0,,0.21544965308560887,0.6,-0.6,0.5,0.5,1,grid,1.1142857142857143
0.3,0.3,0.567498576557397,0.17316841493512106,1.5,0.4,,,0.08658420746756053,0.0,1.0,1.0,,0.19401856841906984,0.6,-0.6,0.7,0.7,1,grid,1.1142857142857143
0.3,0.3,0.5745067860538033,0.20864162771233877,1.5,0.4,,,0.10432081385616938,0.0,1.0,1.0,,0.17930001936186518,0.6,-0.6,0.85,0.85,1,grid,1.1142857142857143
0.3,0.3,0.5843463731771493,0.23695669955303833,1.5,0.4,,,0.11847834977651917,0.0,1.0,1.0,,0.17097620307531664,0.6,-0.6,0.95,0.95,1,grid,1.1142857142857143
0.3,0.3,0.5636207677241982,0.1306647892355772,1.5,0.4,,,0.0653323946177886,0.0,1.0,1.0,,0.21221015990305828,0.6,-0.6,0.5,0.5,1,grid,1.2571428571428571
0.3,0.3,0.5687642099483918,0.1775262124373803,1.5,0.4,,,0.08876310621869014,0.0,1.0,1.0,,0.1880784699648529,0.6,-0.6,0.7,0.7,1,grid,1.2571428571428571
0.3,0.3,0.5770747870939448,0.21671570922760666,1.5,0.4,,,0.10835785461380333,0.0,1.0,1.0,,0.17185185325884847,0.6,-0.6,0.85,0.85,1,grid,1.2571428571428571
0.3,0.3,0.5875497036113502,0.2478620214225792,1.5,0.4,,,0.1239310107112896,0.0,1.0,1.0,,0.16274874137402753,0.6,-0.6,0.95,0.95,1,grid,1.2571428571428571
0.3,0.3,0.5640862457275602,0.1275477682821058,1.5,0.4,,,0.0637738841410529,0.0,1.0,1.0,,0.2095530527402972,0.6,-0.6,0.5,0.5,1,grid,1.4
0.3,0.3,0.5704586636167738,0.17746720138988836,1.5,0.4,,,0.08873360069494418,0.0,1.0,1.0,,0.1830097134797201,0.6,-0.6,0.7,0.7,1,grid,1.4
0.3,0.3,0.5799596230209464,0.21970445204519373,1.5,0.4,,,0.10985222602259687,0.0,1.0,1.0,,0.16538474395908395,0.6,-0.6,0.85,0.85,1,grid,1.4
0.3,0.3,0.59088754016897,0.2530397062259467,1.5,0.4,,,0.12651985311297334,0.0,1.0,1.0,,0.1554660605350461,0.6,-0.6,0.95,0.95,1,grid,1.4
