Delta,P1,W_A,W_acc2,W_coh,W_inc,abs_C_after,abs_C_before,alpha,g,kind,tau,theta,theta_R,window,z_A
0.3,0.6283635956341742,1.881237397077795e-06,0.0,1.881237397077795e-06,0.0,0.04999781152628128,0.05006037395825971,0.0,8.0,oneshot_theta,0.00625,0.05,1.5707963267948966,original_gate1,-0.9982542517195383
0.3,0.6283635956341742,1.321142253419838e-05,0.0,1.321142253419838e-05,0.0,0.04962393910455492,0.05006037395825971,0.0,8.0,oneshot_theta,0.016517857142857143,0.13214285714285715,1.5707963267948966,original_gate1,-0.9878671836481911
0.3,0.6283635956341742,3.5102054108993026e-05,0.0,3.5102054108993026e-05,0.0,0.048915419916718834,0.05006037395825971,0.0,8.0,oneshot_theta,0.026785714285714288,0.2142857142857143,1.5707963267948966,original_gate1,-0.9683967005842028
0.3,0.6283635956341742,6.820075782780766e-05,0.0,6.820075782780766e-05,0.0,0.047877031972322744,0.05006037395825971,0.0,8.0,oneshot_theta,0.03705357142857143,0.29642857142857143,1.5707963267948966,original_gate1,-0.9403671260167699
0.3,0.6283635956341742,0.00011348847841893828,0.0,0.00011348847841893828,0.0,0.04651577780227872,0.05006037395825971,0.0,8.0,oneshot_theta,0.04732142857142857,0.37857142857142856,1.5707963267948966,original_gate1,-0.9045332724633627
0.3,0.6283635956341742,0.00017230538996715894,0.0,0.00017230538996715894,0.0,0.04484083723620288,0.05006037395825971,0.0,8.0,oneshot_theta,0.05758928571428571,0.4607142857142857,1.5707963267948966,original_gate1,-0.8618601150129266
0.3,0.6283635956341742,0.000246375822335515,0.0,0.000246375822335515,0.0,0.04286350549680377,0.05006037395825971,0.0,8.0,oneshot_theta,0.06785714285714287,0.5428571428571429,1.5707963267948966,original_gate1,-0.8134968053704255
0.3,0.6283635956341742,0.0003378187023256596,0.0,0.0003378187023256596,0.0,0.040597117028788064,0.05006037395825971,0.0,8.0,oneshot_theta,0.078125,0.625,1.5707963267948966,original_gate1,-0.7607457261823253
0.3,0.6283635956341742,0.0004491178460315603,0.0,0.0004491178460315603,0.0,0.038056955575954746,0.05006037395825971,0.0,8.0,oneshot_theta,0.08839285714285715,0.7071428571428572,1.5707963267948966,original_gate1,-0.7050274189836201
0.3,0.6283635956341742,0.0005830058205871846,0.0,0.0005830058205871846,0.0,0.03526015111288716,0.05006037395825971,0.0,8.0,oneshot_theta,0.0986607142857143,0.7892857142857144,1.5707963267948966,original_gate1,-0.6478423302268472
0.3,0.6283635956341742,0.0007421830506110838,0.0,0.0007421830506110838,0.0,0.032225564326300145,0.05006037395825971,0.0,8.0,oneshot_theta,0.10892857142857143,0.8714285714285714,1.5707963267948966,original_gate1,-0.5907304055398801
0.3,0.6283635956341742,0.0009287512283265797,0.0,0.0009287512283265797,0.0,0.028973659425060114,0.05006037395825971,0.0,8.0,oneshot_theta,0.11919642857142858,0.9535714285714286,1.5707963267948966,original_gate1,-0.5352296203046436
0.3,0.6283635956341742,0.0011432017838923058,0.0,0.0011432017838923058,0.0,0.02552636613660375,0.05006037395825971,0.0,8.0,oneshot_theta,0.12946428571428573,1.0357142857142858,1.5707963267948966,original_gate1,-0.48283456329287266
0.3,0.6283635956341742,0.0013828157818371767,0.0,0.0013828157818371767,0.0,0.02190693182040372,0.05006037395825971,0.0,8.0,oneshot_theta,0.13973214285714286,1.1178571428571429,1.5707963267948966,original_gate1,-0.434956188666248
0.3,0.6283635956341742,0.0016395101596146987,0.0,0.0016395101596146987,0.0,0.018139764695777535,0.05006037395825971,0.0,8.0,oneshot_theta,0.15,1.2,1.5707963267948966,original_gate1,-0.39288382018519147
0.3,0.6283635956341742,0.010886552010568429,0.0,0.0,0.010886552010568429,0.03487739840914766,0.05006037395825971,0.5,8.0,oneshot_alpha_half,0.1,0.8,1.5707963267948966,original_gate1,0.03628850670189476
